id,name,category,council,town,latitude,longitude,description,tags,website,phone,google_rating,tripadvisor_rating
albert-street-butchers-and-pie-shop,Albert Street Butchers and Pie Shop,butcher,edinburgh,Edinburgh,55.9626783,-3.1777958,Independent butcher with specialty pies. Can do custom cuts including Korean BBQ style,butcher pies custom-cuts independent,,+44 131 554 0533,5.0,
shore-distillery,Shore Distillery,distillery,edinburgh,Edinburgh,55.9765322,-3.1693774,Small independent gin and whisky distillery in Leith with tasting experiences,distillery gin whisky craft,,,5.0,
holyrood-distillery,Holyrood Distillery,distillery,edinburgh,Edinburgh,55.9430559,-3.1774939,Modern whisky distillery near Holyrood Palace. Tours and tastings available,distillery whisky tours scottish,,+44 131 285 8977,4.8,
port-of-leith-distillery,Port of Leith Distillery,distillery,edinburgh,Edinburgh,55.9827097,-3.1754914,Tallest vertical distillery in the world. Rooftop bar with whisky tastings,distillery whisky bar leith,,+44 131 600 0765,4.7,
the-edinburgh-gin-distillery-at-the-arches,The Edinburgh Gin Distillery at The Arches,distillery,edinburgh,Edinburgh,55.9514429,-3.1845117,Edinburgh Gin distillery under historic arches. Gin-making experiences and tastings,distillery gin craft tours,,+44 131 202 4555,4.9,
south-loch-distillery,South Loch Distillery,distillery,edinburgh,Edinburgh,55.9440114,-3.1850788,Small gin distillery with tasting tours. Variety of craft gins,distillery gin craft tastings,,+44 131 662 8860,5.0,
summerhall-distillery,Summerhall Distillery,distillery,edinburgh,Edinburgh,55.94018,-3.1815196,Pickering's Gin distillery. Only privately-owned gin distiller in Edinburgh,distillery gin craft scottish,,+44 131 290 2901,4.9,
lind-and-lime-gin-distillery,Lind and Lime Gin Distillery,distillery,edinburgh,Edinburgh,55.9763423,-3.1752044,Small independent gin distillery in Leith. Bottle-your-own experiences,distillery gin craft leith,,+44 131 600 0144,4.9,
stewart-brewing,Stewart Brewing,brewery,edinburgh,Loanhead,55.8725738,-3.1619999,Independent Scottish brewery with tap room and restaurant. Pizza and Scottish beers,brewery scottish craft tap-room,,+44 131 440 2442,4.8,
moonwake-beer-co-brewery-taproom,Moonwake Beer Co. | Brewery & Taproom,brewery,edinburgh,Edinburgh,55.9774231,-3.1683574,Modern craft brewery in Leith with taproom. Rotating craft beers,brewery craft taproom leith,,+44 131 553 6995,4.8,
edinburgh-farmers-market,Edinburgh Farmers' Market,market,edinburgh,Edinburgh,55.9478545,-3.2035792,Weekly farmers market at Castle Terrace. Local Scottish produce meat veg and artisan foods,farmers-market scottish-produce local organic,,,4.5,
the-chocolatarium,The Chocolatarium,chocolate,edinburgh,Edinburgh,55.9508746,-3.1840160,Chocolate experience with tours and tastings. Make your own chocolate bars,chocolate tours experience craft,,+44 117 205 1079,4.9,
o-chocolates,O Chocolates,chocolate,edinburgh,Edinburgh,55.958005,-3.2082167,Artisan chocolatier in Stockbridge. Hand-made chocolates with unique flavors,chocolate artisan hand-made craft,,+44 131 308 6727,4.9,
chocolatiers-edward-irwyn,Chocolatiers Edward & Irwyn,chocolate,edinburgh,Edinburgh,55.9254851,-3.2095644,Independent chocolatier in Morningside. Quality handmade chocolates and hot chocolate,chocolate artisan hand-made independent,,,4.7,
marys-milk-bar,Mary's Milk Bar,ice-cream,edinburgh,Edinburgh,55.9468723,-3.1974282,Artisan ice cream parlor on Grassmarket. All ice cream made fresh daily with unique flavors,ice-cream artisan gelato fresh,,,4.7,
barnhill-farmshop,Barnhill Farmshop,farm,glasgow,Renfrew,55.8760435,-4.4629781,Working farm with shop cafe and children's activities. Own produce and local goods,farm-shop cafe activities local,,+44 141 812 4000,4.4,
greenhall-country-cafe-farm-shop,Greenhall Country Cafe & Farm Shop,farm,glasgow,Blantyre,55.7842023,-4.1173786,Country cafe and farm shop featuring Wagyu beef. Own farm produce,farm-shop cafe wagyu scottish,,+44 1698 825598,4.7,
edenmill-farm-cafe-soft-play-accomodation,Edenmill Farm - Cafe Soft Play & Accomodation,farm,glasgow,Blanefield,55.9836242,-4.3830896,Farm with cafe soft play and alpaca experiences. Local produce shop,farm cafe alpacas activities,,+44 1360 771707,4.4,
locavore-govanhill,Locavore Govanhill,deli,glasgow,Glasgow,55.8379127,-4.2641146,Organic grocery and cafe. Focus on local Scottish produce and zero-waste,organic local zero-waste scottish,,+44 141 378 1680,4.5,
kinkell-farm,Kinkell Farm,farm,glasgow,Glasgow,55.9566793,-4.1882625,Organic vegetable farm with veg box delivery. Fresh local microgreens,organic veg-box local microgreens,,+44 7864 700903,5.0,
arkleston-farmshop-kitchen,Arkleston Farmshop & Kitchen,farm,glasgow,Paisley,55.8569844,-4.3936703,Farm shop with butcher deli and restaurant. Scottish produce and own farm meats,farm-shop butcher deli scottish,,+44 141 286 6199,4.2,
dunbars-daisies-farm-fresh-milk-vending-machine,Dunbar's Daisies Farm Fresh Milk - Vending Machine,dairy,glasgow,Airdrie,55.8822719,-4.0226406,Farm with fresh milk vending machine and ice cream. Open 24/7,dairy farm fresh-milk ice-cream,,+44 1236 872383,4.6,
overton-farm-shop-butchery,Overton Farm Shop & Butchery,farm,glasgow,Carluke,55.7163898,-3.8891563,Farm shop and butchery with cafe. Quality Scottish meats and local produce,farm-shop butcher cafe scottish,,+44 7944 819223,4.6,
ardardan-estate,Ardardan Estate,farm,glasgow,Cardross,55.9706152,-4.678385,Estate farm shop restaurant and visitor attraction. Highland cattle and own produce,farm-shop restaurant estate scottish,,+44 1389 849188,4.6,
